"yyyy","mm","day","HH","MM","zm","d","z0","u_mean","L","sigma_v","u_star","wind_dir"
2021,1,4,22,30,30,12.654,1.9,2.53163,326.307,0.98647605140723,0.484232,351.121
2021,1,4,23,0,30,12.654,1.9,2.61348,391.38,1.00909365273992,0.475194,355.825
2021,1,4,23,30,30,12.654,1.9,2.1503,142.609,0.760487343747416,0.370082,348.353
2021,1,5,0,0,30,12.654,1.9,2.36918,165.49,0.805167063409824,0.402632,343.066
2021,1,5,0,30,30,12.654,1.9,2.3982,1708.16,0.908277490638186,0.510707,347.019
2021,1,5,1,0,30,12.654,1.9,2.33553,891.472,0.911483406321805,0.502399,349.828
2021,1,5,1,30,30,12.654,1.9,2.24665,1165.16,0.941024441765462,0.449781,352.316
2021,1,5,2,0,30,12.654,1.9,2.14946,1901.59,0.820804483418554,0.481833,349.843
2021,1,5,2,30,30,12.654,1.9,2.60797,4430.43,1.10671134447967,0.52585,352.678
2021,1,5,3,0,30,12.654,1.9,2.7448,-13181,0.992813174771568,0.512314,359.175
2021,1,5,3,30,30,12.654,1.9,2.54406,13398.5,1.05708561621091,0.543093,359.896
2021,1,5,4,0,30,12.654,1.9,2.86323,3149.98,1.14453047141612,0.581137,356.808
2021,1,5,4,30,30,12.654,1.9,2.58478,-5227.49,1.06786703292123,0.581713,351.646
2021,1,5,5,0,30,12.654,1.9,2.55493,-914.047,1.0161397541677,0.509341,355.909
2021,1,5,5,30,30,12.654,1.9,2.13913,-8072.92,0.840478435178441,0.497792,356.211
2021,1,5,6,0,30,12.654,1.9,2.40428,1461.42,1.00989108323621,0.53958,356.553
2021,1,5,6,30,30,12.654,1.9,2.55448,2895.28,1.03204651057983,0.601,2.26978
2021,1,5,7,0,30,12.654,1.9,2.41473,2959.55,0.925035134467875,0.52584,353.938
2021,1,5,7,30,30,12.654,1.9,2.50898,5822.86,0.938968583074003,0.528187,358.531
2021,1,5,8,0,30,12.654,1.9,2.60202,23493.3,1.00329457289472,0.562262,3.71787
2021,1,5,8,30,30,12.654,1.9,2.89267,2055.79,1.07765950095566,0.633471,9.09854
2021,1,5,9,0,30,12.654,1.9,2.58037,3828.26,1.07663364242439,0.608004,7.27466
2021,1,5,9,30,30,12.654,1.9,2.21357,2376.28,0.877751673310852,0.482352,355.551
2021,1,5,10,0,30,12.654,1.9,2.04575,-1075.94,0.882653386103515,0.456301,348.477
2021,1,5,10,30,30,12.654,1.9,1.75606,-548.762,0.781193957989948,0.445951,346.731
2021,1,5,11,0,30,12.654,1.9,1.77872,-707.612,0.796081654103397,0.300517,349.869
2021,1,5,11,30,30,12.654,1.9,1.96195,-396.943,0.768015624841058,0.516112,1.87967
2021,1,5,12,0,30,12.654,1.9,2.03501,-304.229,0.814751495856252,0.477937,5.06783
2021,1,5,12,30,30,12.654,1.9,2.56002,-609.316,1.1613612702342,0.529529,2.14639
2021,1,5,13,0,30,12.654,1.9,2.09236,-378.003,0.949715746947475,0.434842,354.43
2021,1,5,13,30,30,12.654,1.9,2.34707,-586.78,0.985034009565152,0.610913,355.876
2021,1,5,14,0,30,12.654,1.9,2.48879,-580.328,0.949976315494234,0.488125,342.297
2021,1,5,14,30,30,12.654,1.9,2.47142,-846.59,0.952171203093225,0.559405,347.935
2021,1,5,15,0,30,12.654,1.9,2.79878,-1191.09,0.992679202965389,0.487231,347.025
2021,1,5,15,30,30,12.654,1.9,2.58213,-2243.07,1.12865406569063,0.57336,346.873
2021,1,5,16,0,30,12.654,1.9,2.55064,9915.7,1.045289433602,0.573625,349.104
2021,1,5,16,30,30,12.654,1.9,2.86804,1879.79,1.18644426754905,0.550134,345.088
2021,1,5,17,0,30,12.654,1.9,2.84821,687.818,1.02117579289758,0.508372,339.074
2021,1,5,17,30,30,12.654,1.9,2.90792,1014.54,1.01154337524399,0.554936,338.301
2021,1,5,18,0,30,12.654,1.9,2.79722,804.089,1.05603977197831,0.5331,342.992
2021,1,5,18,30,30,12.654,1.9,2.69201,547.684,1.0260068225894,0.486644,339.41
2021,1,5,19,0,30,12.654,1.9,2.84602,1550.87,0.960580033104999,0.559657,334.918
2021,1,5,19,30,30,12.654,1.9,2.74537,1370.13,0.971779295930923,0.518774,338.054
2021,1,5,20,0,30,12.654,1.9,2.96399,2000.7,1.16143015287188,0.597096,342.675
2021,1,5,20,30,30,12.654,1.9,3.14358,1378.25,1.06117859005919,0.50749,340.631
2021,1,5,21,0,30,12.654,1.9,2.82407,13521.2,1.15501082246012,0.618053,343.664
2021,1,5,21,30,30,12.654,1.9,2.81205,41560.3,1.10995044934447,0.536845,348.479
2021,1,5,22,0,30,12.654,1.9,2.47733,-1951.36,1.03843632448023,0.539844,349.264
2021,1,5,22,30,30,12.654,1.9,2.60263,-3273.04,0.994742680294758,0.495133,343.483
2021,1,5,23,0,30,12.654,1.9,2.91801,981.437,1.05614392958536,0.504456,342.165
2021,1,5,23,30,30,12.654,1.9,2.78985,1256.94,0.967793366375282,0.508849,340.823
2021,1,6,0,0,30,12.654,1.9,2.52774,10364.6,0.978322032870568,0.53286,338.031
2021,1,6,0,30,30,12.654,1.9,2.96833,-14078.2,1.05444298091457,0.55035,343.785
2021,1,6,1,0,30,12.654,1.9,3.08557,-15800.7,1.14621987419517,0.663021,335.546
2021,1,6,1,30,30,12.654,1.9,2.9992,6732.67,1.08693146058066,0.646699,336.853
2021,1,6,2,0,30,12.654,1.9,3.19891,-34411.2,1.12005803421073,0.538923,336.022
2021,1,6,2,30,30,12.654,1.9,3.225,-3639.29,1.15587196522798,0.596897,332.91
2021,1,6,3,0,30,12.654,1.9,3.45904,-2048.32,0.988897871369941,0.59602,330.068
2021,1,6,3,30,30,12.654,1.9,3.35997,-4015.6,1.15615742872673,0.59836,337.089
2021,1,6,4,0,30,12.654,1.9,3.06104,2215.29,1.22721636234203,0.613009,343.755
2021,1,6,4,30,30,12.654,1.9,3.20747,856.078,1.08267723722262,0.496608,337.805
2021,1,6,5,0,30,12.654,1.9,3.66785,-5972.64,1.16764292487044,0.744362,334.76
2021,1,6,5,30,30,12.654,1.9,3.58983,-16142,1.16030168490785,0.723464,335.158
2021,1,6,6,0,30,12.654,1.9,4.13425,2429.48,1.36318010548863,0.704417,337.472
2021,1,6,6,30,30,12.654,1.9,3.71643,4785.63,1.359080571563,0.76829,339.032
2021,1,6,7,0,30,12.654,1.9,4.14689,95664.1,1.33266649991661,0.75689,341.404
2021,1,6,7,30,30,12.654,1.9,3.84722,78598.2,1.36430568422183,0.690203,341.469
2021,1,6,8,0,30,12.654,1.9,3.49628,6050.57,1.22999186989183,0.661333,342.038
2021,1,6,8,30,30,12.654,1.9,3.53853,2347.22,1.30535818839122,0.579728,340.918
2021,1,6,9,0,30,12.654,1.9,3.49201,4342.68,1.34290357062598,0.752609,345.745
2021,1,6,9,30,30,12.654,1.9,3.38816,4244.49,1.25875335153476,0.673705,345.81
2021,1,6,10,0,30,12.654,1.9,3.48916,4783.04,1.30832717620632,0.630802,348.104
2021,1,6,10,30,30,12.654,1.9,3.1612,-9308.6,1.20735661674586,0.726496,346.53
2021,1,6,11,0,30,12.654,1.9,3.7451,5846.41,1.33459357109196,0.657597,349
2021,1,6,11,30,30,12.654,1.9,3.58895,-4262.91,1.34540700161698,0.744177,351.451
2021,1,6,12,0,30,12.654,1.9,3.2133,-4122.76,1.3212039963609,0.743296,351.596
2021,1,6,12,30,30,12.654,1.9,3.09046,-2856.79,1.14823778025285,0.705505,350.866
2021,1,6,13,0,30,12.654,1.9,3.21162,16854.6,1.21130095352064,0.669215,352.027
2021,1,6,13,30,30,12.654,1.9,3.08104,-13351.4,1.18931072474774,0.570976,358.627
2021,1,6,14,0,30,12.654,1.9,3.20194,9496.27,1.1853860130776,0.717516,1.31577
2021,1,6,14,30,30,12.654,1.9,3.05819,1519.26,1.16927755473198,0.575989,356.027
2021,1,6,15,0,30,12.654,1.9,2.81815,1580.2,1.08000462961971,0.560857,351.507
2021,1,6,15,30,30,12.654,1.9,2.71962,4407.96,1.09127448426141,0.593888,349.888
2021,1,6,16,0,30,12.654,1.9,2.77374,2276.89,1.05030471768911,0.61283,354.642
